City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Isiro,CD,2.7739,27.616,68.29,59,99,1.61,overcast clouds
262,Leningradskiy,RU,69.3833,178.4167,-33.83,90,12,4.25,few clouds
263,Epiniana,GR,39.1429,21.6134,33.51,92,53,3.87,broken clouds
264,Kruisfontein,ZA,-34.0033,24.7314,62.89,93,80,11.79,light rain
265,Sur,OM,22.5667,59.5289,72.0,53,0,8.14,clear sky
266,Cubuk,TR,40.2386,33.0322,46.76,75,75,1.14,broken clouds
267,Praya,CV,14.9215,-23.5087,73.94,78,0,23.02,clear sky
268,Contamana,PE,-7.3333,-75.0167,91.99,43,89,7.58,overcast clouds
269,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,100,4.0,overcast clouds
270,Beaverlodge,CA,55.2166,-119.4361,2.55,84,100,4.03,overcast clouds
271,Soyo,AO,-6.1349,12.3689,78.71,86,85,2.86,overcast clouds
272,Zavodskoy,RU,43.4597,132.2922,17.82,76,0,2.62,clear sky
273,Lahij,YE,13.1667,44.5833,68.09,59,1,4.68,clear sky
274,Riyadh,SA,24.6877,46.7219,50.14,18,74,2.71,broken clouds
275,Nara,JP,34.6851,135.8049,43.88,73,1,1.52,clear sky
276,High Level,CA,58.5169,-117.136,-9.29,84,20,0.0,few clouds
277,Bethel,US,41.3712,-73.414,52.65,40,0,1.01,clear sky
278,El Alto,PE,-4.2714,-81.2147,76.66,75,75,10.78,broken clouds
279,Asyut,EG,27.181,31.1837,62.78,56,66,7.45,broken clouds
280,Yele,CM,10.7323,13.5891,67.82,26,73,4.43,broken clouds
281,Komsomolskiy,UZ,40.4272,71.7189,36.82,55,100,4.61,haze
282,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,92,100,13.47,moderate rain
283,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,79.43,95,100,2.57,overcast clouds
284,Iquique,CL,-20.2208,-70.1431,69.84,75,24,9.22,few clouds
285,Lumeje,AO,-11.55,20.7833,66.34,90,100,5.01,overcast clouds
286,Henties Bay,NA,-22.116,14.2845,61.86,90,0,7.34,clear sky
287,Komarikhinskiy,RU,58.0979,57.1163,14.99,84,100,7.05,overcast clouds
288,Paamiut,GL,61.994,-49.6678,24.78,74,75,7.99,broken clouds
289,Saint Pete Beach,US,27.7253,-82.7412,84.34,70,1,3.0,clear sky
290,Gamovo,RU,57.8652,56.1056,15.42,67,0,11.18,clear sky
291,Labuhan,ID,-6.8844,112.2051,78.12,83,40,10.27,moderate rain
292,Kushima,JP,31.4583,131.2333,40.12,74,2,7.36,clear sky
293,Iqaluit,CA,63.7506,-68.5145,-4.27,70,90,20.0,overcast clouds
294,Bela,IN,25.9333,81.9833,56.66,52,0,3.27,clear sky
295,Mapiri,BO,-15.25,-68.1667,82.42,74,96,1.79,overcast clouds
296,Bogovarovo,RU,58.9785,47.0246,23.65,94,100,10.54,light snow
297,Winneba,GH,5.3511,-0.6231,82.87,85,47,8.16,scattered clouds
298,Pacific Grove,US,36.6177,-121.9166,56.37,88,100,5.99,moderate rain
299,Sorland,NO,67.667,12.6934,39.27,93,100,33.11,overcast clouds
300,Bereda,ES,43.2686,-7.5406,49.75,100,16,0.69,few clouds
301,Dudinka,RU,69.4058,86.1778,-30.3,96,81,7.67,broken clouds
302,Rio Do Sul,BR,-27.2142,-49.6431,76.91,82,78,0.22,broken clouds
303,Melsungen,DE,51.1333,9.55,44.29,93,75,2.3,broken clouds
304,Port Hardy,CA,50.6996,-127.4199,41.0,87,75,11.5,broken clouds
305,Viedma,AR,-40.8135,-62.9967,70.7,36,63,14.97,broken clouds
306,Asau,RO,46.4333,26.4,33.96,78,99,1.92,overcast clouds
307,Abu Samrah,SY,35.3029,37.1841,59.23,43,100,5.12,overcast clouds
308,Pocosol,CR,10.3667,-84.6167,81.5,91,97,8.66,overcast clouds
309,Souillac,MU,-20.5167,57.5167,75.58,83,75,3.44,light rain
310,Ponta Delgada,PT,37.7333,-25.6667,57.51,76,40,11.5,scattered clouds
311,Ilhabela,BR,-23.7781,-45.3581,76.06,88,100,1.7,overcast clouds
312,Orlik,RU,52.5178,99.825,-2.88,94,100,2.77,overcast clouds
313,Kieta,PG,-6.2167,155.6333,82.13,78,82,1.68,light rain
314,Constancia,MX,24.2231,-107.1869,86.22,35,5,7.99,clear sky
315,Almaznyy,RU,48.0448,40.045,35.74,86,99,16.49,overcast clouds
316,Bonavista,CA,48.6499,-53.1147,41.11,71,37,27.85,scattered clouds
317,Dingle,PH,10.9995,122.6711,75.69,90,100,9.95,overcast clouds
318,Airai,TL,-8.9266,125.4092,59.13,78,10,2.15,clear sky
319,Lanxi,CN,29.2195,119.477,44.87,77,13,3.11,few clouds
320,Saint-Joseph,RE,-21.3667,55.6167,73.78,80,13,10.78,few clouds
321,Taltal,CL,-25.4,-70.4833,66.45,69,4,8.79,clear sky
322,Ulaanbaatar,MN,47.9077,106.8832,-14.67,76,0,2.24,clear sky
323,Minab,IR,27.1467,57.0801,60.3,22,10,8.81,clear sky
324,Norman Wells,CA,65.282,-126.8329,-9.36,70,20,13.8,few clouds
325,Diego De Almagro,CL,-26.3667,-70.05,75.42,24,0,12.46,clear sky
326,Hobyo,SO,5.3505,48.5268,78.42,79,26,21.34,scattered clouds
327,Lazaro Cardenas,MX,17.9583,-102.2,84.24,64,0,10.11,clear sky
328,Mindelo,CV,16.8901,-24.9804,72.95,73,40,29.93,scattered clouds
329,Acapulco,MX,16.8634,-99.8901,85.1,61,3,8.55,clear sky
330,Galle,LK,6.0367,80.217,76.24,85,100,3.65,overcast clouds
331,Karaton,ID,-6.3424,106.1045,77.16,93,51,4.38,broken clouds
332,Romodanovo,RU,54.4275,45.3296,26.28,63,100,11.95,overcast clouds
333,Itarema,BR,-2.9248,-39.9167,81.09,76,99,16.35,overcast clouds
334,Huarmey,PE,-10.0681,-78.1522,73.0,74,41,11.34,scattered clouds
335,Osa,RU,57.2829,55.4567,16.21,82,100,9.17,overcast clouds
336,Barranca,PE,-10.75,-77.7667,71.53,73,40,11.83,scattered clouds
337,Arys,KZ,42.4252,68.795,43.02,87,100,3.69,overcast clouds
338,Wabrzezno,PL,53.2799,18.9477,33.1,97,100,5.37,overcast clouds
339,Burriana,ES,39.889,-0.085,54.82,87,0,3.11,clear sky
340,Codrington,AU,-38.2667,141.9667,57.69,72,63,4.68,broken clouds
341,Mogadishu,SO,2.0371,45.3438,79.97,82,16,19.71,few clouds
342,Pouebo,NC,-20.4,164.5667,79.14,95,100,33.78,very heavy rain
343,Conde,BR,-7.2597,-34.9075,81.86,78,75,9.22,broken clouds
344,Lilongwe,MW,-13.9669,33.7873,74.91,53,0,4.97,clear sky
345,Kalmunai,LK,7.4167,81.8167,76.91,86,99,6.96,moderate rain
